2026-06-23 20:35:27, 64, 64, 0.000100, 8, 1.035829
2026-06-23 20:35:31, 64, 64, 0.000100, 8, 0.454201
2026-06-23 20:35:35, 64, 64, 0.000100, 8, 0.093979
2026-06-23 20:35:39, 64, 64, 0.000100, 8, 0.153083
2026-06-23 20:35:43, 64, 64, 0.000100, 8, 0.036068
2026-06-23 20:35:47, 64, 64, 0.000100, 8, 0.179358
2026-06-23 20:35:53, 64, 64, 0.000100, 8, 0.502652
2026-06-23 20:35:56, 64, 64, 0.000100, 8, 0.051366
2026-06-23 20:36:00, 64, 64, 0.000100, 8, 0.929568
2026-06-23 20:36:04, 64, 64, 0.000100, 8, 0.062424
2026-06-23 20:37:47, 128, 128, 0.000100, 8, 1.172083
2026-06-23 20:37:51, 128, 128, 0.000100, 8, 0.359508
2026-06-23 20:37:56, 128, 128, 0.000100, 8, 0.386584
2026-06-23 20:38:01, 128, 128, 0.000100, 8, 0.396320
2026-06-23 20:38:04, 128, 128, 0.000100, 8, 0.300343
2026-06-23 20:38:08, 128, 128, 0.000100, 8, 0.307718
2026-06-23 20:38:11, 128, 128, 0.000100, 8, 0.323039
2026-06-23 20:38:14, 128, 128, 0.000100, 8, 0.297788
2026-06-23 20:38:18, 128, 128, 0.000100, 8, 0.303282
2026-06-23 20:38:22, 128, 128, 0.000100, 8, 0.342359
2026-06-23 20:40:30, 256, 256, 0.000100, 8, 1.282434
2026-06-23 20:40:36, 256, 256, 0.000100, 8, 2.332051
2026-06-23 20:40:42, 256, 256, 0.000100, 8, 1.255013
2026-06-23 20:40:47, 256, 256, 0.000100, 8, 1.261904
2026-06-23 20:40:52, 256, 256, 0.000100, 8, 1.903065
2026-06-23 20:40:58, 256, 256, 0.000100, 8, 1.247359
2026-06-23 20:41:02, 256, 256, 0.000100, 8, 1.232332
2026-06-23 20:41:07, 256, 256, 0.000100, 8, 1.229133
2026-06-23 20:41:12, 256, 256, 0.000100, 8, 1.263142
2026-06-23 20:41:16, 256, 256, 0.000100, 8, 1.230504
2026-06-23 20:43:48, 512, 512, 0.000100, 8, 7.020337
2026-06-23 20:44:01, 512, 512, 0.000100, 8, 7.142644
2026-06-23 20:44:12, 512, 512, 0.000100, 8, 6.938258
2026-06-23 20:44:25, 512, 512, 0.000100, 8, 5.994553
2026-06-23 20:44:36, 512, 512, 0.000100, 8, 5.981928
2026-06-23 20:44:48, 512, 512, 0.000100, 8, 6.069271
2026-06-23 20:44:58, 512, 512, 0.000100, 8, 6.248042
2026-06-23 20:45:14, 512, 512, 0.000100, 8, 6.253596
2026-06-23 20:45:32, 512, 512, 0.000100, 8, 7.931865
2026-06-23 20:45:48, 512, 512, 0.000100, 8, 9.933798
2026-06-23 20:46:34, 1024, 1024, 0.000100, 8, 29.174549
2026-06-23 20:47:14, 1024, 1024, 0.000100, 8, 33.904133
2026-06-23 20:47:52, 1024, 1024, 0.000100, 8, 30.336751
2026-06-23 20:48:28, 1024, 1024, 0.000100, 8, 30.504916
2026-06-23 20:49:05, 1024, 1024, 0.000100, 8, 30.497928
2026-06-23 21:04:57, 2048, 2048, 0.000100, 8, 127.772444
2026-06-23 21:07:42, 2048, 2048, 0.000100, 8, 126.835720
2026-06-23 21:10:18, 2048, 2048, 0.000100, 8, 130.557018
